Player;MP;ORB;AST;STL;BLK;TOV;PTS;FG%;3P%;FT%
Kareem Abdul-Jabbar;37492;2494;3652;983;2694;2527;24176;.567;;.737
Tom Abernethy;2695;218;199;104;32;50;932;.491;;.784
Gary Alcorn;174;;2;;;;31;.300;;.875
Lucius Allen;6881;203;1081;339;67;;3351;.452;;.773
Cliff Anderson;383;;48;;;;161;.372;;.536
Kostas Antetokounmpo;76;6;3;2;4;12;19;.462;;.467
Carmelo Anthony;1793;62;68;47;52;59;919;.441;.375;.830
Trevor Ariza;2892;146;208;176;38;116;981;.453;.307;.692
Chucky Atkins;2903;31;358;73;2;151;1115;.426;.387;.803
D.J. Augustin;373;4;33;7;1;11;112;.453;.426;1.000
Lonzo Ball;3203;123;631;157;62;239;993;.380;.315;.437
Mo Bamba;88;11;4;1;5;8;33;.407;.313;.545
Jim Barnes;2111;;74;;;;823;.434;;.680
Matt Barnes;2460;170;197;74;70;131;847;.459;.327;.756
Dick Barnett;7190;;621;;;;3890;.448;;.795
Jon Barry;374;8;51;24;3;22;121;.365;.295;.931
Brandon Bass;1342;104;74;33;55;42;473;.549;.000;.845
Billy Ray Bates;27;1;0;1;0;0;5;.125;;.500
Elgin Baylor;33863;;3650;;;;23149;.431;;.780
Kent Bazemore;1188;18;105;56;16;72;434;.405;.367;.667
Ed Beach;;;2;;;;22;.229;;.667
Malik Beasley;621;8;31;21;1;30;289;.392;.353;.619
Michael Beasley;277;13;25;9;10;27;181;.490;.176;.718
Zelmo Beaty;1213;93;74;45;29;;380;.439;;.800
Benoit Benjamin;306;24;10;14;13;36;126;.481;;.595
Mario Bennett;354;60;18;19;11;21;177;.593;.500;.364
Patrick Beverley;1211;24;118;40;25;42;288;.402;.348;.780
Tarik Black;2390;272;89;56;84;109;790;.543;.500;.621
Alex Blackwell;109;10;7;4;2;5;34;.333;.000;.750
Steve Blake;4884;57;723;147;13;278;1178;.383;.383;.803
John Block;118;;5;;;;64;.385;;.706
Mike Bloom;;;15;;;;55;.141;;.725
Corie Blount;2915;320;116;77;90;154;709;.514;.100;.581
Vander Blue;119;2;11;4;0;9;25;.286;.167;.429
Tony Bobbitt;12;0;0;0;0;0;5;.400;.500;
Andrew Bogut;216;26;15;4;13;19;36;.680;;1.000
Isaac Bonga;120;9;15;9;4;6;19;.152;.000;.600
Ron Boone;1689;57;161;71;11;160;642;.448;;.865
Bob Boozer;1847;;87;;;;955;.484;;.779
Carlos Boozer;1692;111;95;41;12;92;836;.499;;.627
Sam Bowie;1781;99;165;25;108;134;529;.440;.200;.814
Avery Bradley;2592;49;110;96;14;85;817;.434;.379;.857
Adrian Branch;219;23;16;16;3;24;138;.500;.000;.778
Corey Brewer;1052;34;77;65;16;57;327;.447;.194;.693
Jim Brewer;2073;233;97;82;104;85;387;.489;.125;.373
Frank Brickowski;404;40;12;14;4;25;146;.564;;.678
Bill Bridges;4610;239;371;65;36;;1309;.447;;.690
MarShon Brooks;228;8;21;12;3;17;115;.489;.579;.692
Anthony Brown;599;9;19;14;5;15;115;.310;.286;.850
Chaundee Brown Jr.;21;0;0;0;0;1;2;.143;.000;
Chucky Brown;381;29;23;9;7;27;135;.466;.000;.610
George Brown;6;;0;;;;1;.000;;.500
Jabari Brown;568;3;40;12;2;32;227;.412;.371;.753
Kwame Brown;3619;294;175;82;114;213;1013;.546;.000;.492
Roger Brown;5;;0;;;;1;;;.333
Shannon Brown;3404;68;214;128;49;151;1437;.429;.346;.861
Sterling Brown;24;3;2;3;0;0;0;.000;.000;
Tierre Brown;1066;21;155;32;1;74;333;.356;.361;.787
Tony Brown;27;0;3;0;0;4;5;.667;1.000;
Troy Brown Jr.;1860;62;95;59;16;49;541;.430;.381;.872
Kobe Bryant;48637;1499;6306;1944;640;4010;33643;.447;.329;.837
Thomas Bryant;948;70;35;15;25;30;518;.637;.383;.726
Steve Bucknall;75;5;10;2;1;11;23;.273;.000;.833
Reggie Bullock;524;2;20;16;7;11;177;.412;.343;.810
Bob Burrow;171;;6;;;;55;.314;;.333
Caron Butler;2746;146;146;110;23;125;1195;.445;.304;.862
Dwight Buycks;123;2;14;3;0;12;52;.450;.636;.900
Andrew Bynum;10174;954;461;127;628;610;4597;.566;.111;.687
Marty Byrnes;194;9;13;5;1;22;63;.500;;.867
Devontae Cacok;107;14;2;5;4;5;45;.571;;.455
José Calderón;292;8;51;7;1;26;80;.416;.353;1.000
Kentavious Caldwell-Pope;8157;173;510;298;69;290;3228;.436;.378;.823
Corky Calhoun;3086;212;160;111;58;;693;.446;;.752
Demetrius Calip;58;1;12;1;0;5;11;.222;.200;.667
Mack Calvin;207;6;21;11;1;;95;.329;;.854
Elden Campbell;15460;1207;688;426;1022;758;6408;.467;.105;.679
Tony Campbell;1029;61;62;48;8;88;531;.482;.125;.803
Derrick Caracter;215;19;7;4;10;19;81;.485;;.739
Don Carlson;;;246;;;;775;.336;;.689
Bob Carney;244;;16;;;;69;.375;;.525
Kenny Carr;1939;128;87;58;46;214;872;.477;;.625
Butch Carter;672;34;52;23;1;50;301;.462;.300;.737
Maurice Carter;50;0;2;0;0;6;22;.357;.333;.917
Ron Carter;332;21;25;17;7;40;144;.435;;.667
Jay Carty;192;;11;;;;76;.382;;.727
Alex Caruso;3484;83;436;181;52;213;1082;.429;.377;.720
Colin Castleton;59;6;3;2;0;3;24;.563;;1.000
Cedric Ceballos;4936;395;239;159;47;327;3003;.517;.325;.770
John Celestand;185;1;20;7;0;16;37;.333;.222;.833
Wilt Chamberlain;14815;;1461;;;;5985;.605;;.475
Jerry Chambers;1015;;44;;;;516;.452;;.731
Tyson Chandler;786;85;31;19;22;35;147;.609;.000;.594
Don Chaney;2541;124;325;148;36;11;527;.405;;.750
Jim Chones;4956;323;304;95;161;334;1751;.496;.000;.693
Doug Christie;1847;117;189;111;33;190;814;.433;.313;.712
Max Christie;2610;47;147;64;45;87;802;.433;.373;.832
Archie Clark;4802;;558;;;;2410;.470;;.731
Earl Clark;1363;82;65;36;44;62;428;.440;.337;.697
Jordan Clarkson;7681;242;784;266;30;490;3904;.442;.332;.807
Jim Cleamons;201;;35;;;;98;.350;;.778
Darren Collison;37;0;2;1;0;1;4;.286;.000;
Lester Conner;5;0;0;1;0;0;2;;;1.000
Brian Cook;4152;247;197;103;101;162;1719;.461;.392;.788
Quinn Cook;570;11;54;13;3;36;257;.429;.367;.789
Duane Cooper;645;13;150;18;2;69;156;.392;.233;.714
Joe Cooper;11;2;0;1;1;3;2;.250;;
Michael Cooper;23635;741;3666;1033;523;1429;7729;.469;;.833
Mel Counts;7425;56;546;20;23;;3643;.445;;.764
Freddie Crawford;2446;;249;;;;897;.472;;.573
Joe Crispin;27;0;2;1;0;1;10;.250;.000;.800
Javaris Crittenton;171;7;18;7;0;22;72;.491;.333;.679
Lloyd Daniels;541;27;36;20;10;23;185;.390;.267;.800
Troy Daniels;456;12;14;8;3;9;174;.392;.357;.625
Adrian Dantley;3760;302;326;133;19;316;2128;.515;;.825
