Player,Synthetic_Index
Roger Brown,22.35933390768765
George Brown,17.07695932893373
Jerome Henderson,13.33701416603904
Jim Fritsche,12.428551373264249
Earnie Killum,9.13855372795478
Ron Sobie,8.204337596107088
Lester Conner,7.620066709723557
Chuck Share,7.529913684187238
Walt Wesley,4.824847753843346
Jawann Oldham,4.382679276585256
Zach Norvell,4.139466219933689
Jerry Grote,4.138231187266529
Scott Machado,4.034944114721823
Sekou Doumbouya,3.9468327885128547
Larry Krystkowiak,3.861612499807339
Myles Patrick,3.6889090089365792
Billy McGill,3.5298544161046963
Trey Johnson,3.4900112386970603
Tony Bobbitt,3.3766002894728873
Joe Cooper,3.2322264930070728
Earl Jones,2.9869168708736047
John Pilch,2.760438683386869
Ron Johnson,2.6976638901143444
Tony Jackson,2.666556874090817
Tony Brown,2.6219603437052053
Steve Mix,2.5453872742084576
Quincy Olivari,2.523284438524302
Nigel Hayes,2.464632068065718
Johnny Horan,2.4607444032321437
Mel Gibson,2.415699870669552
Ron Feiereisel,2.3480868638210994
Elias Harris,2.307604920326127
Mike Higgins,2.292719433623814
Darius Johnson-Odom,2.0959762112091873
Davon Reed,2.0837886248882147
Mac McClung,2.0799853571997513
Derrick Williams,1.9936631456582203
Christian Eyenga,1.9412249873640686
Dylan Windler,1.9282077832321056
Nick Mantis,1.9084451724705627
Shea Seals,1.8892975370751972
Butch Lee,1.817604993600832
Alex Fudge,1.6141311012342432
Chuck Nevitt,1.315813834954113
John Block,1.3135528917728652
Bill Turner,1.2962475224233079
Joe Kleine,1.2672858303771397
Joe Smith,1.217276184178843
Sam Jacobson,1.1822903936637286
Frankie King,1.159466592904123
Bobby Smith,1.144356644310195
Colin Castleton,1.1358751980947672
Ime Udoka,1.1161977643205134
Cole Swider,1.1100019116753956
Mason Jones,1.092797486216094
D'Moi Hodge,1.0909587941731558
Ray Tolbert,1.0851747829666294
Jim Cleamons,1.0762514514115795
Soumaila Samake,1.06766734250042
Coby Karl,1.0671412994049865
Hank Finkel,1.0509086849188862
Skylar Mays,1.0463489192421411
Sun Yue,1.0455210663241803
Billy Ray Bates,1.033048739999597
Joe Crispin,1.0284323299449918
Andre Ingram,1.0180845259014335
Maurice Carter,0.9680828921766773
Harry Giles,0.9659608813858525
Cotton Nash,0.9650618877189211
John Fairchild,0.961743678982952
Sterling Brown,0.9501826576470016
Mo Bamba,0.9465321210381196
Jay Huff,0.936835048768882
Kostas Antetokounmpo,0.9166543390424258
Jay Carty,0.9145701563318461
Alan Hardy,0.9013168039806057
Devontae Cacok,0.8986461883126496
Bob Burrow,0.8933368149284919
