Player,Synthetic_Index
Jerome Henderson,4.408575727881539
Roger Brown,4.186778315148549
George Brown,2.980952776049795
Lester Conner,2.0458234013735055
Jim Fritsche,1.9323049429194028
Chuck Share,1.5313508524126906
Ron Sobie,1.394831917736217
Earnie Killum,1.3775854308022408
Scott Machado,1.2471061789824112
Jawann Oldham,1.2430352944580059
Larry Krystkowiak,1.1511759321662054
Sekou Doumbouya,1.121653101141699
Myles Patrick,1.0487131213284118
Jerry Grote,0.804798101474048
Trey Johnson,0.7634236501823277
Zach Norvell,0.744243355080318
Steve Mix,0.7269167946317652
Tony Bobbitt,0.705984788746773
Butch Lee,0.6822322911302866
George Mikan,0.672794502882002
Nigel Hayes,0.645948954616083
Dylan Windler,0.6167427769030702
Billy McGill,0.5746068436362137
Walt Wesley,0.5615879650211422
Quincy Olivari,0.5272690423002941
Tony Jackson,0.520617987249213
Luka Don?i?,0.5036414197879947
Tony Brown,0.45573902605868566
Davon Reed,0.427399888383382
Joe Cooper,0.425307516848082
Ron Feiereisel,0.4223119332065087
Darius Johnson-Odom,0.3531728993009471
Earl Jones,0.32794848773022933
Christian Eyenga,0.32445691225869605
Russell Westbrook,0.30805191884558875
Jim Cleamons,0.26375604063444547
Kendall Marshall,0.25470745060924777
Elias Harris,0.2534557078710685
Mel Gibson,0.2523761573282403
Mac McClung,0.249773364174543
Shea Seals,0.23840550246879977
Sam Jacobson,0.21894656950113972
Ronnie Lester,0.21683965632997498
Flynn Robinson,0.20701684906723947
Nick Mantis,0.2065147507300858
Rajon Rondo,0.18499222192037693
Mason Jones,0.18390837435815888
David Rivers,0.17560708635443942
Coby Karl,0.1679199826615485
Mike Higgins,0.1664869574886421
Michael Beasley,0.16316448755405305
Ramon Sessions,0.1623600416864377
D'Angelo Russell,0.15690601724092568
Steve Nash,0.15010960191906578
Derrick Williams,0.14911728658781592
Travis Grant,0.14185368162407058
Lucius Allen,0.13896366546099692
Jeremy Lin,0.13055431135383339
Bob Harrison,0.13004098334083064
Lou Williams,0.12987975360839862
Wes Matthews,0.126364250732295
D'Moi Hodge,0.12260534006705043
Walt Hazzard,0.12245048175725005
Adrian Branch,0.12086241253177157
John Tresvant,0.11481685864439804
John Block,0.11260266972685072
Brian Winters,0.11021291371279535
Eddie Jordan,0.10893863385765644
John Pilch,0.10677841071668537
Ray Tolbert,0.1065143493905198
Brad Davis,0.10376128585840386
Sedale Threatt,0.10260413149672282
Reggie Jordan,0.1008024776732528
Dennis Schröder,0.09936614573638262
Johnny Horan,0.09630379971580282
Demetrius Calip,0.0888495835508415
Frankie King,0.08848897089385582
Ernie DiGregorio,0.0879840416219577
